,link_id,orig_int,dest_int,xi,xj,yi,yj,normalised_density,avg_density,geo_density,hourly_vol,capacity,lane_count,preds,color,mean_normalised_density
438,cf20ed63-ba8d-4a45-9fb2-7255db9b73ff,4437,2951,144.9504127667796,144.94940658776497,-37.81789201725672,-37.81812682671533,0.16845729701794251,0.14110783483027958,0.09110850140850252,248.0,1472.1831846416562,1,2,dark_blue,0.31297613550902054
439,a8386a22-acd8-4eea-bdaf-d81374ff8603,4263,4268,145.0264055624451,145.0253441709316,-37.821533382934824,-37.82725612317927,0.9021324661030179,0.6307468470411385,0.542463935747284,776.0,860.1840961916846,1,1,dark_blue,0.39203225574404343
440,7cc75a74-d52b-4a5f-888a-d3fc583ec51c,2103,3453,144.98515722955722,144.98428156183925,-37.79387145615554,-37.798930121731914,0.41170222837449993,0.5853133583401372,0.434781213010252,364.0,884.1341506388248,1,2,dark_blue,0.31297613550902054
441,6b0e52e9-3449-4c66-bcb7-a7acb7402f64,4526,4437,144.95211233254307,144.9504127667796,-37.82175157722144,-37.81789201725672,0.14226709457218822,0.4134946338834514,0.3352339245496942,240.0,843.48387349058,2,0,dark_blue,0.3598713923457558
442,dd71d50e-24a7-44f2-b3c9-9cfe38cbd7ee,4393,4392,144.96463517494806,144.96436635703878,-37.79680787231274,-37.79832621721032,0.3128845158981244,0.23673021064127697,0.22556163713508484,400.0,1278.426958431655,1,0,dark_blue,0.3598713923457558
443,73c82e4e-170c-4dc7-bea8-534388707236,4542,4541,144.9797496638241,144.97870281947317,-37.847687242173365,-37.84482156230894,0.8220239635791294,0.39961963604579775,0.26248490261565793,756.0,459.8406089698054,2,1,dark_blue,0.39203225574404343
444,c51c85ef-7528-489a-99dd-4807741b77da,2983,4753,144.99068364425736,144.99414906651955,-37.84638744792422,-37.84683405447812,0.0,0.2660573221355555,0.0,0.0,1086.1975497012982,1,1,dark_blue,0.39203225574404343
445,d7103bf5-c859-4b12-a4c7-6b3d8a010fe3,4339,4030,145.05196481316005,145.06398331659682,-37.79871737541724,-37.7934002676227,0.20107841108898514,0.0737584191015923,0.027360553254138057,148.0,736.0312785369293,1,0,dark_blue,0.3598713923457558
446,fbc85be9-f707-4d3f-8ad0-cc90dc4d9ce2,2843,4273,145.0395727761225,145.0449742704005,-37.84470650317375,-37.845436171809155,0.3502099270841578,0.48040950377005204,0.4293539303568699,580.0,828.0747562313134,2,1,dark_blue,0.39203225574404343
447,e8520751-5c82-458c-accd-a60066e63a59,4142,3384,144.9860572292682,144.9917936063878,-37.80672867783372,-37.807133046247124,0.19734791152155817,0.18808218337407895,0.16392023929470964,164.0,831.0196887089162,1,2,dark_blue,0.31297613550902054
448,820126a8-ae91-444f-bf18-8fc8ef1185f3,2402,2403,144.9639522473943,144.9651682934384,-37.82952678263207,-37.83075537967601,0.3545681095592138,0.3830058061650079,0.3819486156119229,2252.0,1587.8472564831088,4,3,red,0.8742830024473064
449,37ebacd4-4d19-4ca8-9b64-6167b1c0ffdd,3661,3660,145.02001907256732,145.0153883185395,-37.80671884236051,-37.8053161494201,0.5348169340568473,0.7753852640873797,0.6042823332810536,988.0,923.6805503759372,2,3,red,0.8742830024473064
450,b33eafc2-c228-4098-b5e5-694741872dc9,2983,3399,144.99068364425736,144.98504394324235,-37.84638744792422,-37.845660225308876,0.5133653182547456,0.4371790948871374,0.3418881891538367,412.0,802.5473972426679,1,2,dark_blue,0.31297613550902054
451,4896d576-e83b-4894-80a5-f8bf1313e936,4240,2506,144.88822408335724,144.8923698977866,-37.79850839352341,-37.79888906363909,0.3215133271149571,0.47479021740845284,0.43973416894126655,656.0,1020.175440138827,2,2,dark_blue,0.31297613550902054
